รหัส,ชื่อโครงการ,หน่วยงาน,สังกัด,ปี,สถานะ,บทบาท,พื้นที่ดำเนินการ,กลุ่มอาชีพ,รูปแบบการเรียนรู้,ระดับการศึกษา,ช่วงอายุ,กลุ่มเป้าหมายเฉพาะ,แหล่งที่มา,ลักษณะสนับสนุน,เป้าหมาย,ผู้สมัคร,ผู้เข้าร่วม,ผู้ผ่าน,ติดตามได้,นำไปใช้,งบประมาณ,ผลลัพธ์,เสนอ BP
L2E-2568-0038,กิจกรรมหาราบได้ระหว่างเรียน,โรงเรีบนโสตศึกษาอนุสารสุนทร,อื่นๆ (สศศ),2569,ไม่เผยแพร่,ทั้งสองบทบาท,เมืองเชียงใหม่ · สันทราย,,ฝึกในสถานประกอบการ (Work-based) · อื่นๆ (สถานการณ์จริง),มัธยมศึกษาตอนต้น · มัธยมศึกษาตอนปลาย,15-17 ปี · ต่ำกว่า 15 ปี,ผู้เรียนที่มีความต้องการพิเศษ,นโยบายหน่วยงาน · ความต้องการของผู้เรียน,การจ้างงาน,,,,19,19,19,0,มีรายได้จากทักษะ,ไม่
L2E-2568-0040,โครงการ การเป็นผู้ประกอบการหรือประกอบอาชีพอิสระ (หารายได้ระหว่างเรียน) LEARN TO EARN,วิทยาลัยการอาชีพฝาง,สอศ. (อาชีวศึกษา),2570,เผยแพร่,สนับสนุน,ฝาง,การตลาด · การจัดการ · การเงินและบัญชี · การประกอบและบริการอาหาร,หลักสูตรในระบบ,ปวส. (ประกาศนียบัตรวิชาชีพชั้นสูง) · ปวช. (ประกาศนียบัตรวิชาชีพ),15-17 ปี · 18-24 ปี · 25-34 ปี · 45-59 ปี · 35-44 ปี,กลุ่มชาติพันธุ์/บนพื้นที่สูง · ผู้เรียนที่มีความต้องการพิเศษ · อื่นๆ (นักเรียน นักศึกษา),นโยบายกระทรวงศึกษาธิการ · แผนพัฒนาการศึกษา · นโยบายหน่วยงาน,งบประมาณ · อุปกรณ์/วัสดุ,50,50,50,50,50,50,30000,เริ่มต้นธุรกิจ · ศึกษาต่อ/พัฒนาทักษะ · เกิดผลิตภัณฑ์/บริการ,ใช่
L2E-2568-0041,ฝึกอบรมอาชีพระยะสั้น,เทศบาลนครเชียงใหม่,อื่นๆ (องคฺกรปกครองส่วนท้องถิ่น),2569,เผยแพร่,ดำเนินการเอง,,,,,ต่ำกว่า 15 ปี · 15-17 ปี · 25-34 ปี · 45-59 ปี,,,,,,,,,,,,
L2E-2568-0042,โครงการออมสินสารพัดช่างสารพัดอาชีพ เพื่อสร้างงาน สร้างอาชีพ,วิทยาลัยสารพัดช่างเชียงใหม่,สอศ. (อาชีวศึกษา),2569,เผยแพร่,ทั้งสองบทบาท,เมืองเชียงใหม่,เสริมสวยและความงาม · การประกอบและบริการอาหาร,อบรมระยะสั้น,เยาวชน/ประชาชนทั่วไป · ประกาศนียบัตร/หลักสูตรระยะสั้น,18-24 ปี,ผู้เรียนที่มีความต้องการพิเศษ,นโยบายกระทรวงศึกษาธิการ · ความร่วมมือกับภาคี · นโยบายหน่วยงาน · ความต้องการของสถานประกอบการ,งบประมาณ · อุปกรณ์/วัสดุ · ผู้เชี่ยวชาญ/วิทยากร · สถานที่/แหล่งเรียนรู้ · การรับรองสมรรถนะ · ฝึกงาน/ฝึกประสบการณ์,60,60,60,35,7,0,24000,เริ่มต้นธุรกิจ,ไม่
L2E-2568-0043,สัปดาห์คณิตศาสตร์,โรงเรียนสาธิตมหาวิทยาลัยราชภัฏเชียงใหม่,อว. (อุดมศึกษาฯ),2569,ไม่เผยแพร่,ทั้งสองบทบาท,เมืองเชียงใหม่,การตลาด,อื่นๆ (การจัดกิจกรรมในสถานศึกษา),ประถมศึกษา,ต่ำกว่า 15 ปี,อื่นๆ (นักเรียนระดับชั้นประถมศึกษา โรงเรียนสาธิตมหาวิทยาลัยราชภัฏเชียงใหม่),นโยบายหน่วยงาน,งบประมาณ · สถานที่/แหล่งเรียนรู้ · ฝึกงาน/ฝึกประสบการณ์,584,584,562,562,562,562,5000,เริ่มต้นธุรกิจ · ศึกษาต่อ/พัฒนาทักษะ,ไม่
L2E-2568-0044,โครงการเตรียมความพร้อมแก่กลุ่มเป้าหมายก่อนเข้าสู่ตลาดแรงงาน กิจกรรมแนะแนวอาชีพให้นักเรียน นักศึกษา,สำนักงานจัดหางานจังหวัดเชียงใหม่,อื่นๆ (กระทรวงแรงงาน กรมการจัดหางาน),2569,เผยแพร่,สนับสนุน,เมืองเชียงใหม่ · จอมทอง · แม่แจ่ม · เชียงดาว · ดอยสะเก็ด · แม่แตง · แม่ริม · สะเมิง · ฝาง · แม่อาย · พร้าว · สันป่าตอง · สันกำแพง · สันทราย · หางดง · ฮอด · ดอยเต่า · อมก๋อย · สารภี · เวียงแหง · ไชยปราการ · แม่วาง · แม่ออน · ดอยหล่อ · กัลยาณิวัฒนา,อื่นๆ (เด็กและเยาวชนทั่วไปทุกกลุ่มอาชีพ),อบรมระยะสั้น · อื่นๆ ((1)  Inspiration Talks เชิญผู้ประกอบการอาชีพ/ผู้เชี่ยวชาญ/ผู้ที่ประสบความสำเร็จ ในสายอาชีพต่างๆ มาพูดคุยแบ่งปันประสบการณ์เกี่ยวกับอาชีพนั้นๆ  (2) ให้บริการวัดบุคลิกภาพเพื่อการศึกษาต่อและการเลือกอาชีพ หรือบริการทดสอบทักษะต่าง ๆ เช่น ทดสอบความถนัดทางอาชีพ ทดสอบภาษาอังกฤษ  (3)  บรรยาย/อภิปราย/เสวนา เพื่อให้ข้อมูลและความรู้ด้านอาชีพที่ทันสมัยและเหมาะสมกับกลุ่มเป้าหมายในแต่ละระดับชั้นการศึกษา เพื่อเป็นแนวทางในการเลือกศึกษาต่อหรือเลือกประกอบอาชีพ (4)  จัดทำบันทึกการวางแผนอาชีพ (Career Planning) ผ่านระบบออนไลน์  เพื่อการวางแผนอาชีพส่วนบุคคล โดยการบันทึกข้อมูลส่วนตัว ข้อมูลการศึกษา เป้าหมายการศึกษา และการประกอบอาชีพ พร้อมทั้งประสบการณ์ฝึกงาน/ทำงาน ความสามารถทางภาษา และข้อมูลอื่น ๆ ที่เกี่ยวข้องเพื่อใช้เป็นข้อมูลในการค้นหาและพัฒนาตนเองให้สามารถประกอบอาชีพได้ตามเป้าหมายที่วางแผนไว้ 	(5)  จัดกิจกรรมสาธิตอาชีพอิสระที่อยู่ในความสนใจของกลุ่มเป้าหมายและเป็นที่ต้องการของตลาด เพื่อให้ทราบถึงขั้นตอน วิธีการทำ และได้ทดลองปฏิบัติอาชีพ รวมทั้งเผยแพร่ เอกสารข้อมูลความรู้ต่าง ๆ เช่น ข้อมูลด้านอาชีพและการศึกษา ข้อมูลข่าวสารตลาดแรงงาน แหล่งฝึกอาชีพแหล่งฝึกอบรม/ พัฒนาทักษะ เพื่อเป็นแนวทางในการเลือกศึกษาต่อ/ประกอบอาชีพ 	(6)  สวมบทบาทอาชีพ (Career Roleplay) 	(7)  เกมบัตรคำค้นหาตัวตนสู่อาชีพ (8)  จัดกิจกรรมอื่น ๆ ตามความเหมาะสม เช่น กิจกรรมการแข่งขันตอบปัญหาอาชีพ การจัดนิทรรศการอาชีพ การฉายวีดิทัศน์อาชีพ การเชิญผู้ประสบความสำเร็จในอาชีพมาแลกเปลี่ยนประสบการณ์ หรือเชิญหน่วยงานต่าง ๆ มานำเสนอข้อมูลการเข้าสู่อาชีพ ฯลฯ (9)  กิจกรรมการเรียนรู้อาชีพผ่านโลกเสมือนจริง),มัธยมศึกษาตอนปลาย · มัธยมศึกษาตอนต้น · ปวช. (ประกาศนียบัตรวิชาชีพ) · ปวส. (ประกาศนียบัตรวิชาชีพชั้นสูง) · ปริญญาตรี · เยาวชน/ประชาชนทั่วไป,ต่ำกว่า 15 ปี · 15-17 ปี · 18-24 ปี · 25-34 ปี,ประชาชนทั่วไป · ผู้ว่างงาน · กลุ่มชาติพันธุ์/บนพื้นที่สูง,นโยบายหน่วยงาน,ผู้เชี่ยวชาญ/วิทยากร · อื่นๆ (การให้ความรู้และฐานข้อมูลการแนะแนวอาชีพ) · การจ้างงาน,2800,2830,2860,2830,2500,,22400,ศึกษาต่อ/พัฒนาทักษะ,ไม่
L2E-2568-0045,ส่งเสริมและพัฒนาทักษะอาชีพสำหรับนักเรียนในสถานศึกษาสังกัดสำนักบริหารงานการศึกษาพิเศษ  โรงเรียนราชประชานุเคราะห์ 60 จังหวัดเชียงใหม่,โรงเรียนราชประชานุเคราะห์ 60 จังหวัดเชียงใหม่,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),2568,ไม่เผยแพร่,ดำเนินการเอง,แม่ริม,สิ่งทอและเครื่องนุ่งห่ม · การประดิษฐ์ · การประกอบและบริการอาหาร · เกษตรผสมผสาน · อื่นๆ (อาชีพอิสระตามความสนใจของนักเรียน เช่น การทำผลิตภัณฑ์ทำความสะอาด  นักชงกาแฟ  ค้าขาย เป็นต้น),หลักสูตรในระบบ · อื่นๆ (ฝึกปฏิบัติโดยครูที่ปรึกษาทักษะอาชีพดูแลนอกตารางเวลาเรียน),ประถมศึกษา · มัธยมศึกษาตอนต้น · มัธยมศึกษาตอนปลาย,ต่ำกว่า 15 ปี · 15-17 ปี,อื่นๆ (นักเรียนระดับชั้นประถมศึกษาปีที่ 4- มัธยมศึกษาปีที่ 6),ความต้องการของผู้เรียน · นโยบายกระทรวงศึกษาธิการ,อื่นๆ,849,849,859,849,,,,,ไม่
L2E-2568-0046,ส่งเสริมทักษะอาชีพ และการมีรายได้ระหว่างเรียน,สพป.เชียงใหม่ เขต 4,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),2569,เผยแพร่,สนับสนุน,สันป่าตอง · หางดง · สารภี · ดอยหล่อ · แม่วาง,แปรรูปอาหาร · บริการและเสริมสร้างสุขภาพ · การตลาด · เกษตรผสมผสาน · การประดิษฐ์ · หัตถศิลป์ · การเงินและบัญชี · การประกอบและบริการอาหาร,หลักสูตรในระบบ,ประถมศึกษา · มัธยมศึกษาตอนต้น · มัธยมศึกษาตอนปลาย,ต่ำกว่า 15 ปี · 15-17 ปี,ผู้เรียนที่มีความต้องการพิเศษ,แผนพัฒนาการศึกษา · นโยบายหน่วยงาน · ความต้องการของผู้เรียน · ความต้องการของพื้นที่ · นโยบายกระทรวงศึกษาธิการ,สถานที่/แหล่งเรียนรู้ · ร่วมพัฒนาหลักสูตร,84,84,84,64,84,,20000,มีรายได้จากทักษะ · เริ่มต้นธุรกิจ · ได้รับ Certificate/คุณวุฒิ · มีรายได้ต่อเนื่อง · ศึกษาต่อ/พัฒนาทักษะ · เกิดผลิตภัณฑ์/บริการ,ใช่
L2E-2568-0047,โครงการอบรมเชิงปฏิบัติการบ่มเพาะผู้ประกอบการอาชีวศึกษา  ประจำปีการศึกษา ๒๕๖๙,วิทยาลัยเทคนิคสันกำแพง,สอศ. (อาชีวศึกษา),2569,เผยแพร่,ทั้งสองบทบาท,แม่ออน,อื่นๆ (ไม่ตรงกับกลุ่มอาชีพมาตรฐาน) · การเงินและบัญชี · การตลาด · การประกอบและบริการอาหาร · แปรรูปอาหาร,อบรมระยะสั้น,ปวช. (ประกาศนียบัตรวิชาชีพ),15-17 ปี · 18-24 ปี,อื่นๆ (บ่มเพาะกลุ่มธุรกิจ ให้มีศักยภาพและเพิ่มขีดความสามารถเป็นผู้ประกอบการใหม่ การหารายได้ระหว่างเรียนให้กับนักเรียนที่สนใจในการประกอบธุรกิจ) · อื่นๆ (นักเรียนนักศึกษาที่สนใจการประกอบธุรกิจ),นโยบายกระทรวงศึกษาธิการ · นโยบายหน่วยงาน · นโยบายหน่วยงาน,งบประมาณ,25,25,25,25,25,,30000,เริ่มต้นธุรกิจ · มีรายได้จากทักษะ · มีรายได้จากทักษะ · มีรายได้จากทักษะ,ไม่
L2E-2568-0048,โครงการการจัดการอาชีวศึกษาระบบทวิภาคี,วิทยาลัยเทคโนโลยีพณิชยการเชียงใหม่,สอศ. (อาชีวศึกษา),2569,เผยแพร่,ดำเนินการเอง,เมืองเชียงใหม่ · สันทราย · สันกำแพง · หางดง · แม่ริม · สารภี,เครื่องกลและยานยนต์ · พลังงาน ไฟฟ้า และอิเล็กทรอนิกส์ · การเงินและบัญชี · การตลาด · การจัดการ · ธุรกิจดิจิทัลและพาณิชย์อิเล็กทรอนิกส์ · การโรงแรม · การท่องเที่ยว,ทวิภาคี/ทวิศึกษา,ปวส. (ประกาศนียบัตรวิชาชีพชั้นสูง),18-24 ปี,ผู้เรียนที่มีความต้องการพิเศษ,นโยบายกระทรวงศึกษาธิการ · นโยบายหน่วยงาน · ความต้องการของผู้เรียน · ความต้องการของสถานประกอบการ · ความร่วมมือกับภาคี,ฝึกงาน/ฝึกประสบการณ์ · การจ้างงาน · งบประมาณ · ร่วมพัฒนาหลักสูตร · สถานที่/แหล่งเรียนรู้,103,66,66,59,63,59,10000,,ไม่
L2E-2568-0049,โครงการสืบสานงานตามพระราชดำริ/นักธุรกิจน้อย มีคุณธรรมนำสู่เศรษฐกิจสร้างสรรค์,โรงเรียนราชประชานุเคราะห์ 30,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),2569,เผยแพร่,ดำเนินการเอง,แม่อาย,หัตถศิลป์ · การประดิษฐ์ · การผลิตพืช,หลักสูตรในระบบ,มัธยมศึกษาตอนต้น · มัธยมศึกษาตอนปลาย,15-17 ปี,ผู้ด้อยโอกาส · กลุ่มชาติพันธุ์/บนพื้นที่สูง,นโยบายกระทรวงศึกษาธิการ · แผนพัฒนาการศึกษา · ความร่วมมือกับภาคี,งบประมาณ,450,450,450,450,450,450,20000,มีรายได้จากทักษะ · เริ่มต้นธุรกิจ · มีรายได้ต่อเนื่อง · ศึกษาต่อ/พัฒนาทักษะ,ไม่
L2E-2568-0050,โครงการพัฒนาอาชีพชุมชน,สำนักงานส่งเสริมการเรียนรู้ประจำจังหวัดเชียงใหม่,สกร./กศน. (กรมส่งเสริมการเรียนรู้),2569,เผยแพร่,สนับสนุน,เมืองเชียงใหม่ · จอมทอง · แม่แจ่ม · เชียงดาว · ดอยสะเก็ด · แม่แตง · แม่ริม · สะเมิง · ฝาง · แม่อาย · พร้าว · สันป่าตอง · สันกำแพง · สันทราย · หางดง · ฮอด · ดอยเต่า · อมก๋อย · สารภี · เวียงแหง · ไชยปราการ · แม่วาง · แม่ออน · ดอยหล่อ · กัลยาณิวัฒนา,บริการและเสริมสร้างสุขภาพ · ศิลปะและการออกแบบ · หัตถศิลป์ · อัญมณี เครื่องประดับ และโลหะมีค่า · การประดิษฐ์ · การประกอบและบริการอาหาร · แปรรูปอาหาร · เทคโนโลยีผลิตภัณฑ์อาหาร · เสริมสวยและความงาม · เกษตรผสมผสาน · สิ่งทอและเครื่องนุ่งห่ม,อบรมระยะสั้น,ประถมศึกษา · มัธยมศึกษาตอนต้น · มัธยมศึกษาตอนปลาย,18-24 ปี · 35-44 ปี · 60 ปีขึ้นไป · 15-17 ปี · 25-34 ปี · 45-59 ปี,ประชาชนทั่วไป,นโยบายกระทรวงศึกษาธิการ · ความร่วมมือกับภาคี,งบประมาณ,2440,4265,4265,4265,4265,,,,
L2E-2568-0051,ผลิตภัณฑ์ฝาขวด “Cap2 Craft”,โรงเรียนออทิสติกเชียงใหม่,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),2568,เผยแพร่,ทั้งสองบทบาท,เมืองเชียงใหม่,ศิลปะและการออกแบบ · การประดิษฐ์,อบรมระยะสั้น,2026-11-12 00:00:00,ต่ำกว่า 15 ปี · 15-17 ปี,ผู้เรียนที่มีความต้องการพิเศษ,นโยบายกระทรวงศึกษาธิการ,งบประมาณ,,,,45,45,,20000,มีรายได้จากทักษะ,ใช่
