ประเภท,รายการ,จำนวนโครงการ
ช่วงอายุ,15-17 ปี,13
ช่วงอายุ,18-24 ปี,11
ช่วงอายุ,ต่ำกว่า 15 ปี,10
ช่วงอายุ,45-59 ปี,8
ช่วงอายุ,25-34 ปี,8
ช่วงอายุ,35-44 ปี,6
ช่วงอายุ,60 ปีขึ้นไป,5
กลุ่มเป้าหมายเฉพาะ,ประชาชนทั่วไป,8
กลุ่มเป้าหมายเฉพาะ,ผู้เรียนที่มีความต้องการพิเศษ,7
กลุ่มเป้าหมายเฉพาะ,กลุ่มชาติพันธุ์/บนพื้นที่สูง,5
กลุ่มเป้าหมายเฉพาะ,ผู้ว่างงาน,3
กลุ่มเป้าหมายเฉพาะ,ผู้สูงอายุ,1
กลุ่มเป้าหมายเฉพาะ,อื่นๆ (นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับและผู้ที่สนใจ ที่มีอายุระหว่าง 15 -25 ปี),1
กลุ่มเป้าหมายเฉพาะ,อื่นๆ (แรงงานในสถานประกอบการ แรงงานผู้ประกอบอาชีพอิสระ แรงงานใหม่ ผู้ว่างงาน),1
กลุ่มเป้าหมายเฉพาะ,อื่นๆ (ผู้ปกครอง),1
กลุ่มเป้าหมายเฉพาะ,อื่นๆ (นักเรียน นักศึกษา),1
กลุ่มเป้าหมายเฉพาะ,อื่นๆ (นักเรียนระดับชั้นประถมศึกษา โรงเรียนสาธิตมหาวิทยาลัยราชภัฏเชียงใหม่),1
กลุ่มเป้าหมายเฉพาะ,อื่นๆ (นักเรียนระดับชั้นประถมศึกษาปีที่ 4- มัธยมศึกษาปีที่ 6),1
กลุ่มเป้าหมายเฉพาะ,อื่นๆ (บ่มเพาะกลุ่มธุรกิจ ให้มีศักยภาพและเพิ่มขีดความสามารถเป็นผู้ประกอบการใหม่ การหารายได้ระหว่างเรียนให้กับนักเรียนที่สนใจในการประกอบธุรกิจ),1
กลุ่มเป้าหมายเฉพาะ,อื่นๆ (นักเรียนนักศึกษาที่สนใจการประกอบธุรกิจ),1
กลุ่มเป้าหมายเฉพาะ,ผู้ด้อยโอกาส,1
แหล่งที่มาโครงการ,นโยบายหน่วยงาน,14
แหล่งที่มาโครงการ,นโยบายกระทรวงศึกษาธิการ,11
แหล่งที่มาโครงการ,ความต้องการของผู้เรียน,6
แหล่งที่มาโครงการ,ความร่วมมือกับภาคี,5
แหล่งที่มาโครงการ,แผนพัฒนาการศึกษา,4
แหล่งที่มาโครงการ,ความต้องการของพื้นที่,4
แหล่งที่มาโครงการ,ความต้องการของสถานประกอบการ,4
แหล่งที่มาโครงการ,อื่นๆ (กลุ่มจังหวัดภาคเหนือตอนบน 1 ได้จัดสรรงบประมาณโครงการตามแผนปฏิบัติราชการประจำปีของกลุ่มจังหวัดภาคเหนือตอนบน 1 ประจำปีงบประมาณ พ.ศ. 2569 ให้กับสำนักงานการท่องเที่ยวและกีฬาจังหวัดเชียงใหม่),2
แหล่งที่มาโครงการ,อื่นๆ (งบประมาณจากกระทรวง),1
ผลลัพธ์,มีรายได้จากทักษะ,12
ผลลัพธ์,เริ่มต้นธุรกิจ,7
ผลลัพธ์,ศึกษาต่อ/พัฒนาทักษะ,7
ผลลัพธ์,ได้รับ Certificate/คุณวุฒิ,5
ผลลัพธ์,มีรายได้ต่อเนื่อง,4
ผลลัพธ์,เกิดผลิตภัณฑ์/บริการ,3
ความต้องการสนับสนุน,งบประมาณ,12
ความต้องการสนับสนุน,ตลาด,11
ความต้องการสนับสนุน,อุปกรณ์,11
ความต้องการสนับสนุน,บุคลากร,9
ความต้องการสนับสนุน,ระบบติดตามผล,5
ความต้องการสนับสนุน,ข้อมูล/ฐานข้อมูล,5
ความต้องการสนับสนุน,สถานประกอบการ,4
ความต้องการสนับสนุน,หลักสูตร,4
ความต้องการสนับสนุน,การรับรองสมรรถนะ,3
สิ่งที่พร้อมสนับสนุน,สถานที่/แหล่งเรียนรู้,9
สิ่งที่พร้อมสนับสนุน,หลักสูตร/องค์ความรู้,9
สิ่งที่พร้อมสนับสนุน,ข้อมูล/ฐานข้อมูล,7
สิ่งที่พร้อมสนับสนุน,วิทยากร/ผู้เชี่ยวชาญ,7
สิ่งที่พร้อมสนับสนุน,ฝึกงาน/ฝึกประสบการณ์,6
สิ่งที่พร้อมสนับสนุน,งบประมาณ,4
สิ่งที่พร้อมสนับสนุน,อุปกรณ์/ทรัพยากร,4
สิ่งที่พร้อมสนับสนุน,เชื่อมโยงสถานประกอบการ,4
สิ่งที่พร้อมสนับสนุน,ตลาด/ช่องทางจำหน่าย,4
สิ่งที่พร้อมสนับสนุน,การจ้างงาน,3
สิ่งที่พร้อมสนับสนุน,ติดตามและประเมินผล,2
สิ่งที่พร้อมสนับสนุน,อื่นๆ (จัดแสดงสินค้าและประชาสัมพันธ์),1
สิ่งที่พร้อมสนับสนุน,อื่นๆ,1
สิ่งที่พร้อมสนับสนุน,การรับรองสมรรถนะ,1
บทบาทเจ้าภาพ,เจ้าภาพด้านฝึกอบรม/พัฒนาทักษะ,7
บทบาทเจ้าภาพ,เจ้าภาพด้านหลักสูตร/องค์ความรู้,4
บทบาทเจ้าภาพ,เจ้าภาพด้านการรับรองสมรรถนะ,3
บทบาทเจ้าภาพ,อื่นๆ (ให้คำแนะนำแลกเปลี่ยนการดำเนินงาน),1
บทบาทเจ้าภาพ,อื่นๆ (รับฝากประชาสัมพันธ์สินค้า),1
บทบาทเจ้าภาพ,อื่นๆ (ด้านสถานที่),1
บทบาทเจ้าภาพ,เจ้าภาพเชื่อมโยงสถานประกอบการ,1
บทบาทเจ้าภาพ,เจ้าภาพด้านตลาด/ช่องทางจำหน่าย,1
บทบาทเจ้าภาพ,เจ้าภาพด้านข้อมูล/ติดตามผล,1
บทบาทเจ้าภาพ,อื่นๆ (สนับสนุนการให้ความรู้เชิงปฏิบัติการ),1
